
2024/12/22 (02:23:59) | ===> btop++ v.1.4.0
2024/12/22 (02:23:59) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/12/22 (04:04:24) | ===> btop++ v.1.4.0
2024/12/22 (04:04:24) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/12/22 (04:04:34) | ===> btop++ v.1.4.0
2024/12/22 (04:04:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/22 (04:04:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/22 (04:04:48) | ===> btop++ v.1.4.0
2024/12/22 (04:04:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/22 (04:04:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/22 (04:05:03) | ===> btop++ v.1.4.0
2024/12/22 (04:05:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/22 (04:05:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/22 (12:28:51) | ===> btop++ v.1.4.0
2024/12/22 (12:28:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/22 (12:28:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/22 (13:41:58) | ===> btop++ v.1.4.0
2024/12/22 (13:41:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/22 (13:42:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/23 (13:13:27) | ===> btop++ v.1.4.0
2024/12/23 (13:13:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/23 (13:13:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/28 (20:47:42) | ===> btop++ v.1.4.0
2024/12/28 (20:47:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/28 (20:47:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

